,lugares,labels,Quotes,order
494,Vatican,FAC,"As he drew near, Langdon recognized the work was pure Bernini-the intensity of the artistic composition, the intricate faces and flowing clothing, all from the purest white marble Vatican money could buy",494
495,earth,LOC,The prophet who predicted the annihilation of the earth,495
496,Piazza del Popolo,FAC,"“Well I’ll be damned!”70
G unther Glick and Chinita Macri sat parked in the BBC van in the shadows at the far end of Piazza del Popolo",496
497,Rome,GPE,"It was getting dark now, the springtime sun setting late in southern Rome 
",497
498,Southwest,LOC," 
at the shops and apartm 
“Southwest,” he said, scowling
ents blocking his view",498
499,Earth,LOC," Earth, Air, Fire, Water , he thought",499
500,Earth,LOC,"Earth the Earth they had found-inside the Chapel of 
Habakkuk, the prophet who predicted the earth’s annihilation",500
501,Earth,LOC,"Earth the Earth they had found-inside the Chapel of 
Habakkuk, the prophet who predicted the earth’s annihilation",501
502,"the Chapel of 
 
",FAC,"Earth the Earth they had found-inside the Chapel of 
Habakkuk, the prophet who predicted the earth’s annihilation",502
503,earth,LOC,"Earth the Earth they had found-inside the Chapel of 
Habakkuk, the prophet who predicted the earth’s annihilation",503
504,Rome,GPE,One that shows all the churches in Rome,504
505,Rome,GPE,"“And I
don’t know Rome’s churches well enou-” He stopped",505
506,Rome,GPE,"His view of Rome, however, got better with every step",506
507,Rome,GPE,"Like an o 
i 
cean on f re, the red-tiled rooftops of Rome spread
out before him, glowing in the scarlet sunset",507
508,Rome,GPE,"From that spot, for the first time in his life, Langdon saw beyond the pollution and traffic of Rome to its ancient roots-Città di DioThe city of God",508
509,bell tower,FAC,"Squinting into the sunset, Langdon scanned the rooftops for a church steeple or bell tower",509
510,Rome,GPE,"There are hundreds of churches in Rome , he thought",510
511,Rome,GPE,"Not to mention, Rome had changed dramatically since the 1600s when churches were by law the tallest buildings allowed",511
512,Rome,GPE,"In the distance, on the very edge of Rome, Michelangelo’s massive dome blotted the setting sun",512
513,St. Peter’s Basilica,GPE,St,513
514,Vatican City,GPE,Vatican City,514
515,Earth,LOC,"The mystic elements were Earth, Air, Fire, Water",515
516,St. Peter’s,GPE,From here the first one you hit is St,516
517,Rome,GPE,"The line missed, by a substantial margin, the cluster of black squares indicating Rome’s major churches",517
518,Rome,GPE,"Unfortunately, Rome’s major churches were also Rome 
s ",518
519,Rome,GPE,"Unfortunately, Rome’s major churches were also Rome 
s ",519
520,the Margherita Bridge,FAC,"The path intersected the Margherita Bridge, Via Cola di Riezo, and passed through Piazza del Risorgimento, hitting no churches at all until it dead-ended abruptly at the center of St",520
521,Via Cola di Riezo,FAC,"The path intersected the Margherita Bridge, Via Cola di Riezo, and passed through Piazza del Risorgimento, hitting no churches at all until it dead-ended abruptly at the center of St",521
522,Piazza del Risorgimento,FAC,"The path intersected the Margherita Bridge, Via Cola di Riezo, and passed through Piazza del Risorgimento, hitting no churches at all until it dead-ended abruptly at the center of St",522
523,St. Peter’s Square,GPE,"The path intersected the Margherita Bridge, Via Cola di Riezo, and passed through Piazza del Risorgimento, hitting no churches at all until it dead-ended abruptly at the center of St",523
524,St. Peter,GPE," 
“What’s wrong with St",524
525,St. Peter’s,GPE,".”
“But the line goes through St",525
526,St. Peter’s,GPE,There was an Egyptian monolith in St,526
527,Vatican,FAC,"“The Vatican’s monolith 
y is not by Bernini",527
528,Rome,GPE," 
“Besides, the poem says the elements are spread across Rome ",528
529,St. Peter’s Square,GPE,St,529
530,Vatican City,GPE,Peter’s Square is in Vatican City,530
531,Rome,GPE,Not Rome,531
532,St. Peter’s,GPE,Most maps show St,532
533,Vatican City,GPE,"Peter’s Square as part of Vatican City, but because it’s outside 
a the walled city, Rom n officials for centuries have claimed
it as part of Rome",533
534,Rome,GPE,"Peter’s Square as part of Vatican City, but because it’s outside 
a the walled city, Rom n officials for centuries have claimed
it as part of Rome",534
535,St. Peter’s,GPE,"“And you know of 
Langdon was wi one in St",535
536,St. Peter’s Square,GPE,I know every corner of St,536
537,St. Peter’s Church,GPE,“What does it look like?” Langdon was starting to wonder if the Illuminati could really have been gutsy enough to position their second marker right outside St,537
538,St. Peter’s Square,GPE,“I wasn’t thinking in those terms! That tile you’re talking about in St,538
539,St. Peter’s,GPE,“But I thought Michelangelo designed St,539
540,Piazza del Popolo,FAC,"Peter’s Squarewas designed by Bernini!”
As the caravan of Alpha Romeos tore out of Piazza del Popolo, everyone was in too much of a hurry to notice the BBC van pulling out behind them",540
541,Alpha Rom,LOC," 73
G unther Glick floored the BBC van’s accelerator and swerved through traffic as he e 
tailed the four speeding Alpha Rom os across the Tiber River on Ponte Margherita",541
542,the Tiber River,LOC," 73
G unther Glick floored the BBC van’s accelerator and swerved through traffic as he e 
tailed the four speeding Alpha Rom os across the Tiber River on Ponte Margherita",542
543,Ponte Margherita,LOC," 73
G unther Glick floored the BBC van’s accelerator and swerved through traffic as he e 
tailed the four speeding Alpha Rom os across the Tiber River on Ponte Margherita",543
544,London,GPE," 
Macri sat in her work area in 
an finish the back of the v 
ing a phone call with London",544
545,London,GPE,"“Break my transmitter,”
she warned, “and we’ll have to walkthis footage to London",545
546,St. Peter’s,GPE,".”
The four Alpha Romeos slipped deftly into traffic surrounding St",546
547,St. Peter’s,GPE,"They too seem 
Langdon watched through the windshield, he sensed a noose tightening around St",547
548,Vatican,FAC," 
In addition to the men Olivetti had just dispatched, the commander had radioed ahead to the Vatican and sent additional undercover guards to the center where Bernini’s West Ponentewas located",548
549,St. Peter’s Square,GPE,As Langdon looked out at the wide-open spaces of St,549
550,St. Peter’s Basilica,GPE,The springtime sun was setting behind St,550
551,St. Peter’s,GPE,As they crossed the open expanse of St,551
552,Vittoria,GPE," 
hoped Vittoria would not decide she needed it",552
553,St. Peter’s,GPE,"He could not im ut a
agine her whipping o 
weapon in St",553
554,Rome,GPE,"It seemed Rome was suddenly filled with ellipses, pyramids, and startling geometry",554
555,St. Peter’s Square,GPE," 
Somewhere around the obelisk, boldly positioned outside the largest church in the world, was the second altar of science-Bernini’s West Ponente -an elliptical block in St",555
556,St. Peter’s,GPE," 
Gunther Glick watched from the shadows of the pillars surrounding St",556
557,Rome,GPE,"Today had been a day of phone tips, corpses, unmarked cars racing through Rome, and men in tweed jackets climbing scaffolding in search of God only knew what",557
558,London,GPE,Glick knew the images were sailing over his head right now en route to London,558
559,Rome,GPE,"Not in his art books, not in his numerous trips to Rome, not everhad West Ponente ’s significance jumped out at him",559
560,West Ponente,GPE,"Not in his art books, not in his numerous trips to Rome, not everhad West Ponente ’s significance jumped out at him",560
561,the West Wind,LOC," 
The relief was elliptical, about three feet long, and carved with a rudimentary face-a depiction of the West Wind as an angel-like countenance",561
562,Vatican,FAC,"Gusting from the angel’s mouth, Bernini had drawn a powerful breath of air blowing outward away from the Vatican ",562
563,Vatican,FAC,She pointed up at the Vatican as if showing Langdon something on the dome,563
564,St. Peter’s,GPE,".”
When the bells of St",564
565,Rome,GPE,apparently one of Rome’s homeless,565
566,St. Peter’s Square,GPE," 
Her video came 
nchor as sh 
ra felt like an a 
e lumbered across St",566
567,London,GPE," 
lled, “I will not
Macri ye 
under any circumstances give you the film in this camera
without speaking to my editor in London",567
568,Vatican,FAC,"The other f bed
orcibly grab 
her by the arm and twisted her in the direction of the Vatican",568
569,Vatican,FAC," 
in the crowded square outside the Vatican Virgin sacrifices on the altars of science ",569
570,Vatican,FAC," 
tter search had turned up nothing so
Either the guards had missed the canister, or the intruder had gotten deeper inside the Vatican than Commander Olivetti had been willing to entertain",570
571,Vatican City,GPE," 
As the tape rolled, she told him about the conversation she had just had with Gunther Glick in Vatican City",571
572,St. Peter’s,GPE,"In addition, BBC photo archives had just given her a positive ID
on the victim in St",572
573,U.S.,GPE,"“Usage and licensing price?”
“A million U",573
574,Rome,GPE,".”
At that exact instant, somewhere in Rome, the Hassassin enjoyed a fleeting moment of repose in a comfortable chair",574
575,St. Peter’s Square,GPE," 
Robert Langdon stood nearby staring out at St",575
576,Santa Maria del Popolo,GPE,“Cardinal Ebner was found dead in the church of Santa Maria del Popolo just after eight o’clock,576
577,Earth,LOC,He had been suffocated and branded with the ambigrammatic word ‘Earth,577
578,St. Peter’s,GPE,.’ Cardinal Lamassé was murdered in St,578
579,Vatican City,GPE,".”
“Captain,” the camerlegno said, “excuse me if I seem less than hopeful, but I was under the impression that a search of Vatican City would take far more time than we have",579
580,Vatican,FAC,"However,ter assessing the situation, I am confident the antimatter canister is located in one of our white zones-those Vatican sectors accessible to public tours-the museums and St",580
581,St. Peter’s Basilica,GPE,"However,ter assessing the situation, I am confident the antimatter canister is located in one of our white zones-those Vatican sectors accessible to public tours-the museums and St",581
582,Vatican City,GPE,".”
“You intend to search only a small percentageof Vatican City?”
“Yes, signore",582
583,Vatican City,GPE,It is highly unlikely that an intruder gained access to the inner zones of Vatican City,583
584,Vatican,FAC,"We must rememb 
u 
er that the cardinals spent m ch of today in the
Vatican museums and St",584
585,St. Peter’s Basilica,GPE,"We must rememb 
u 
er that the cardinals spent m ch of today in the
Vatican museums and St",585
586,St. Peter’s Square,GPE," 
The soldier pointed to St",586
587,Vatican City,GPE,"The central line ofstWe Ponente ’s breath points due east, directly away from Vatican City",587
588,St. Peter’s,GPE,.” The guard traced a line with his finger from St,588
589,the Tiber River,LOC,"Peter’s Square ac 
ross the Tiber River and up into the heart of 
old Rome",589
590,Rome,GPE,"Peter’s Square ac 
ross the Tiber River and up into the heart of 
old Rome",590
591,Rome,GPE,"“As you can see, the line passes through almost all of Rome",591
592,"St 
 
",FAC,".”
Langdon looked out at St 
o 
",592
593,Peter’s,FAC,Peter’s Square a m ment,593
594,Rome,GPE,four towering beacons rising over Rome to mark the altars of science,594
595,Rome,GPE," 
“It’s a long shot,” Langdon said, “but I know that many of Rome’s obelisks were erected or moved during Bernini’s reign",595
596,Leipzig,GPE,"“There’s his famousFireworks , but they’re not sculpture,
and they’re in Leipzig, Germany",596
597,Germany,GPE,"“There’s his famousFireworks , but they’re not sculpture,
and they’re in Leipzig, Germany",597
598,Vatican City,GPE,A mass stakeout means leaving Vatican City unprotected and canceling the search,598
599,Vatican,FAC,"“Would it have been created while Bernini was employed here at the Vatican?”
“Almost definitely,” Langdon said",599
600,Vatican,FAC,Vatican assets? He scanned the list of contents,600
601,Vatican,FAC," 
“Paperwork of all Vatican assets,” the guard said",601
602,Vatican,FAC,"In Bernini’s day, everything an artist created while under the patronage of e, by law,the Pope becam 
property of the Vatican",602
603,Vatican City,GPE,"“Including works placed in churches outsideVatican City?”
The soldier gave him an odd look",603
604,Rome,GPE,All Catholic churches in Rome are property of the Vatican,604
605,Vatican,FAC,All Catholic churches in Rome are property of the Vatican,605
606,West Ponente,GPE,It contained the names of the twenty or so churches that were located on a direct line with West Ponente ’s breath,606
607,Vatican City,GPE," 
“For MSNBC news,” she announced, “this is Kelly Horan-Jones, live from Vatican City",607
608,St. Peter’s,GPE,".” The im 
of 
age behind her was a night shot St",608
609,Rome,GPE,We have reports that two members of the College of Cardinals have been brutally murdered in Rome,609
610,Santa Maria del Popolo,GPE,The Swiss Guards carried the body of Cardinal Ebner down the stairs outside Santa Maria del Popolo and lifted him into an Alpha Romeo,610
611,Frankfurt,GPE,"“This is believed to be the body of Cardinal Ebner of Frankfurt, Germany",611
612,Germany,GPE,"“This is believed to be the body of Cardinal Ebner of Frankfurt, Germany",612
613,St. Peter’s,GPE,"“You just showed-”
The shot that filled the screen was of a couple in St",613
614,"the  
 
quare",FAC,"Peter’s S 
oving through the
quare, m 
crowd",614
615,Vatican,FAC," 
“This astonishing footage,” the reporter was saying, “was shot only minutes ago outside the Vatican",615
616,France,GPE,Our sources tell us this is the body of Cardinal Lamassé from France,616
617,Vatican,FAC,"So far, the Vatican has refused to comment",617
618,Vatican City,GPE,"Outside the window, in the settling dark, the raw magnetism of human tragedy seemed to be sucking people toward Vatican City",618
619,St. Peter’s,GPE,Pedestrians streamed toward them while a new batch of media personnel unloaded vans and staked their claim in St,619
620,Vatican City,GPE," 
all, it will b 
”
“The truth? That Vatican City is threatened to be destroyed by satanic terrorists? It only weakens our position",620
621,Vatican,GPE," 
“By Vatican law,” the woman continued, “no formal autopsy is ever performed on a Pope, so the Illuminati claim of murder cannot be confirmed",621
622,Vatican,FAC,"Nonetheless, the Illumi ti
na 
hold that the cause of the late Pope’s death was not a strokeas the Vatican reported, butpoisoning",622
623,VATICAN,FAC,"  MURDER AT THE VATICAN 
POPE POISONED SATAN TOUCHES HOUSE OF GOD 
The camerlegno looked away",623
624,Santa Maria de Popolo-,FAC,"“-tipped me off about the killing at Santa Maria de Popolo-”
“Wait!” the camerlegno said",624
625,VATICAN CITY,GPE,"Underneath his photo, it said: GUNTHER GLICK-LIVE IN VATICAN CITY",625
626,the Chigi Chapel,FAC,my videographer got the footage of the cardinal being removed from the Chigi Chapel,626
627,London,GPE,".”
“Let me reiterate for our viewers,” the anchorma 
ng, “BBC reporter
n in London was sayi 
Gunther Glick is the man who first broke this story",627
628,Vatican,FAC,"The caller told me that the Pope’s death was nota stroke, as the Vatican had thought, but rather that the Pope had been poisoned by the Illuminati",628
629,London,GPE,.” Vittoria had once seen a photo taken at an aquarium in London where a pair of killer whales had been mistakenly overdosed by their trainer,629
630,Vatican City,GPE,"The alleged assassin 
plies a much
deeper infiltration of Vatican City than we had imagined",630
631,Vatican City,GPE,In twenty minutes I will be making a decision whether or not to cancel conclave and evacuate Vatican City,631
632,VATICAN,FAC," 
saw the headlines on the TERROR AT THE VATICAN 
Sylvie listened to the report, unable to believe her ears",632
633,EARTH,LOC,"Two young techies ran by waving T-shirts that bore a picture of Bill Gates and the message: AND THE GEEKSHALL INHERIT THE EARTH!
“Illuminati!” one shouted",633
634,Vatican,FAC,"The Vatican called CERN from time to time as a
“courtesy” before issuing scathing statements condemning CERN’s research-most recently for CERN’s breakthroughs in nanotechn field the church 
ology, a denounced
because of its implications for genetic engineering",634
635,Vatican,FAC,"Invariably, within minutes after a Vatican salvo, Kohler’s phone would ring off the hook with techinvestment companies wanting to license the new discovery",635
636,Vatican City,GPE," 
Far away, in Vatican City, Cardinal Mortati carried another tray of ballots to the Sistine Chapel chimney",636
637,St. Peter’s Basilica,GPE," 83
F lashlights were no match for the voluminous blackness of St",637
638,Vatican,FAC,It was the famous sunken sanctuary beneath the main altar-the sumptuous underground chamber that held the Vatican’s most sacred relics,638
639,Vittoria,GPE,"As they drew even with the gate surrounding the hollow, Vittoria gazed down at the golden co oil
ffer surrounded by scores of glowing 
lamps",639
640,"the golden co 
 
 oil  
 
",FAC,"As they drew even with the gate surrounding the hollow, Vittoria gazed down at the golden co oil
ffer surrounded by scores of glowing 
lamps",640
641,St. Peter,GPE,Everyone who came to St,641
642,St. Peter’s,GPE,The guidebooks label this as St,642
643,earth,LOC,"Peter’s tomb, but his true grave is two stories beneath us, buried in the earth",643
644,Vatican,FAC,The Vatican excavated it in the forties,644
645,St. Peter,GPE,"As they moved away from the glowing recession into the darkness again, she thought of the stories she’d heard of pilgrims traveling thousands of miles to look at that golden box, thinking they were in the presence of St",645
646,Vatican,FAC,"“Shouldn’t the Vatican tell people?”
“We all benefit from a se 
ontact with di 
nse of c 
vinity ",646
647,Vatican City,GPE,"What was faith 
ter all?
, af 
“Change,” the camerlegno said, “is not something we do well within Vatican City",647
648,Palermo,GPE,A bishop from Palermo appeared at my hospital bed and took me in,648
649,West Ponente,GPE,The previous two works-Habakkuk and the Angeland West Ponente -had not contained specific references to Earthor Air ,649
650,Earth,LOC,The previous two works-Habakkuk and the Angeland West Ponente -had not contained specific references to Earthor Air ,650
651,Rome,GPE,"Langdon hoped they could c 
the killer before he had to consider Water -Bernini had carved dozens of fountains in Rome, most of them in front of churches",651
652,Vatican,FAC,"Teresa , shortly after its unveiling, had been moved from its original location inside the Vatican",652
653,Vatican,FAC,Teresaas too sexually explicit for the Vatican,653
654,Vatican,FAC,"Was it possible? Had Bernini intentionally created a work so explicit that it forced the Vatican to hide it in some out-of-the-way spot? A location perhaps that Bernini himself could suggest? Maybe a remote church on a direct line with West Ponente ’s b 
th?
rea 
As Langdon’s excitement mounted, his vague familiarity with the statue intervened, insisting the work had nothing to do with fire ",654
655,Vatican,FAC,Hardly Vatican fare,655
656,Holy Vatican Grottoes,FAC," 85
T he Holy Vatican Grottoes are located beneath the main floor of St",656
657,St. Peter’s Basilica,GPE," 85
T he Holy Vatican Grottoes are located beneath the main floor of St",657
658,Vatican,FAC,"Not only was he facing the most devastating threat in Vatican history, but he was doing it without his mentor and friend ",658
659,Vatican,FAC,Vatican laws are established to protect this church,659
660,rd,FAC," 
sound than the last tim 
Next he remembered the walkie-talkie the gua 
t 
rd had left on the table outside the vaul 
",660
661,Vittoria,GPE," 
Thirty second 
, Vittoria was standing before a corpse when
s later, in the Vatican Grottoes 
the electronic squawk of a walkie-talkie broke the silence",661
662,the Vatican Grottoes,FAC," 
Thirty second 
, Vittoria was standing before a corpse when
s later, in the Vatican Grottoes 
the electronic squawk of a walkie-talkie broke the silence",662
663,Vatican City,GPE," 
When Olivetti’s Alpha Romeo tore out of Vatican City, this time there was no line of unmarked cars following him",663
664,Rome,GPE,"Where are we going?”88
E ven with its siren now affixed and blaring, Olivetti’s Alpha Romeo seemed to go unnoticed as it rocketed across the bridge into the heart of old Rome",664
665,Vatican,FAC,"All the traffic was moving in the other direction, toward the Vatican, as if the Holy See had suddenly become the hottest entertainment in Rome",665
666,Rome,GPE,"All the traffic was moving in the other direction, toward the Vatican, as if the Holy See had suddenly become the hottest entertainment in Rome",666
667,St. Peter’s,GPE,How long before the camerlegno told the crowd in St,667
668,LONDON,GPE," 
will and testam LONDON DAILY MAIL 
August 27, 1998
",668
669,Vatican,FAC,"a plot including a powerful, ruthless and illegal Masonic lodge with tentacles stretching into the Vatican",669
670,Vittoria,GPE," 
The cellular in Vittoria’s pocket rang, thankfully erasing the memories from Langdon’s mind",670
671,Vatican,FAC,"He pictured the Vatican Curator collapsing in spasms of outrage at the thought of this priceless artifact being packed around Rome like some tourist ma 
thought of the m 
p",671
672,Rome,GPE,"He pictured the Vatican Curator collapsing in spasms of outrage at the thought of this priceless artifact being packed around Rome like some tourist ma 
thought of the m 
p",672
673,St. Peter’s,GPE," 89
W ar had broken out in St",673
674,St. Peter’s Basilica,GPE," 
Only a hundred yards away, inside the thick walls of St",674
675,Vatican City’s,GPE,"The search of Vatican City’s pub 
d noth 
lic access areas so far had yielde 
ing",675
676,Vatican City,GPE," 
It seemed every day since Chartrand had arrived in Vatican City he had learned some new Vatican mystery",676
677,Vatican,FAC," 
It seemed every day since Chartrand had arrived in Vatican City he had learned some new Vatican mystery",677
678,Vatican,FAC,"Then again, Chartrand realized, never before in history had the Vatican been sitting on what amounted to some clearsort of neoteric nu 
warhead",678
679,Vatican City,GPE,The camerlegno was the person inside Vatican City for whom Chartrand held the most respect,679
680,Vatican,FAC," 
Chartrand had only been at the Vatican a few months when he heard the story of the bomb that blew up the camerlegno’s mother before the kid’s very eyes",680
681,"chu 
 
 ",GPE,A rch bomb in chu ,681
682,Vatican City,GPE,"A couple months back, on a peaceful afternoon inside Vatican City, Chartrand had bumped into the camerlegno coming across the grounds",682
683,Vittoria,GPE,".”90
L angdon and Vittoria observed Piazza Barberini from the shadows of a small alleyway h 
on the western corner",683
684,Vatican,FAC,no comment yet from the Vatican ,684
685,Rome,GPE,"satanic
urde 
presence in Rome ",685
686,Rome,GPE,"Rome sat riveted, as did the rest of the world",686
687,Vatican,FAC,"Apparently, the women had been inside the church fifteen minutes ago praying for the Vatican in its time of need, when some man had appeared and told them the church was closing early",687
688,Vittoria,GPE," 91
L angdon and Vittoria dashed to the main entrance of the church of Santa Maria della Vittoria and found the wooden door locked",688
689,Santa Maria della Vittoria,GPE," 91
L angdon and Vittoria dashed to the main entrance of the church of Santa Maria della Vittoria and found the wooden door locked",689
690,Mortati,GPE,"A singlemissing candidate, Mortati could understand",690
691,Mortati,GPE," 
When the bolts on the outer door began to grind open, Mortati and the entire College of Cardinals wheeled in unison toward the entrance",691
692,Vatican,GPE,"For the first time in Vatican history, a camerlegnohad just crossed the sacred threshold of conclave aftersealing the doors",692
693,Mortati,GPE,"Before him, lit only by the candlelight, the camerlegno had just told a tale of such hatred and treachery that Mortati found himself trembling",693
694,Vatican City,GPE,"And finally, his words almost a whisper, he spoke of a deadly new technology, antimatter, which in less than two hours threatened to destroy all of Vatican City",694
695,Mortati,GPE,"The only sound Mortati could now hear was the anomalous hum of a television came n
ra i 
back-an electronic presence no conclave in history had ever endured-but a presence demanded by the camerlegno",695
696,the Sistine Chapel,FAC,"To the utter astonishment of the cardinals, the camerlegno had entered the Sistine Chapel with two BBC reporters-a man and a woman-and announced that they would be transmitting his s 
n statem 
olem 
ent, liveto the world",696
697,Mortati,GPE,"Mortati could hear the
desperate thumping of his own heart",697
698,Mortati,GPE,.”What is he saying! Mortati thought,698
699,Planet Earth,LOC,Science proclaims that Planet Earth and its inhabitants are a meaningless speck in the grand scheme,699
700,Mortati,GPE,He had a physical strength in his movements and voice that Mortati had never witnessed on a Vatican altar,700
701,Vatican,FAC,He had a physical strength in his movements and voice that Mortati had never witnessed on a Vatican altar,701
702,Mortati,GPE,"In that moment, Mortati saw one of the reasons the late Pope held this young man so dear",702
703,Vatican City,GPE,"By showing the cardinals, he Vatican Citywas personalizing the church",703
704,St. Peter’s,GPE,Outside in St,704
705,mo,GPE," 5 9 
T he Hassassin lay his unconscious trophy in the rear of the van and took a mo to
ment
admire her sprawled body",705
706,Vatican,FAC," 
Inside the Vatican, Gunther Glick was walking on air as he followed the camerlegno from the Sistine Chapel",706
707,the Sistine Chapel,FAC," 
Inside the Vatican, Gunther Glick was walking on air as he followed the camerlegno from the Sistine Chapel",707
708,Vatican City,GPE,".”
Glick decided it must be perpetual Christmas inside Vatican City",708
709,the   meadow,LOC," 
The flowers here are like paintings, the child thought, laughing as he ran across the meadow",709
710,New Hampshire,GPE,"Besides, hi omethings eyes had been drawn to s else-a brilliant lady’s slipper-the rarestand most beautiful flower in New Hampshire",710
711,the Tiber River,LOC,".”97
T he Hassassin smiled as he pulled his van into the mammoth stone structure overlooking the Tiber River",711
712,Tiber,LOC,Far below the Tiber raged,712
713,St. Peter’s,GPE,He raised his eyes to the dome of St,713
714,Vatican,FAC,"After she had served him and died doing it, he would stand on the balcony and watch the midnight Vatican fireworks",714
715,the Church of Santa Maria Della Vittoria,FAC,".”98
T he six pompierifiremen who responded to the fire at the Church of Santa Maria Della Vittoria extinguished the bonfire with blasts of Halon gas",715
716,Vatican,FAC,"Water was cheaper, but the steam it created would have ruined the frescoes in the chapel, and the Vatican paid Roman pompieria healthy stipend for swift and prudent service in all Vatican 
-owned 
buildings",716
717,Vatican,FAC,"Water was cheaper, but the steam it created would have ruined the frescoes in the chapel, and the Vatican paid Roman pompieria healthy stipend for swift and prudent service in all Vatican 
-owned 
buildings",717
718,Vatican,FAC,"The chief called the Vatican, but all the circuits were busy",718
719,ny,GPE,"“Mèdico!”99 
A ny word from Olivetti?” the camerlegno asked, looking drained as Rocher escorted him back from the Sistine Chapel to the Pope’s office",719
720,the Sistine Chapel,FAC,"“Mèdico!”99 
A ny word from Olivetti?” the camerlegno asked, looking drained as Rocher escorted him back from the Sistine Chapel to the Pope’s office",720
721,St. Peter’s,GPE,Let them exit into St,721
722,Vatican,FAC,He phoned on one of the Vatican’s private extensions,722
723,Vatican,FAC,Vatican lines are jammed,723
724,Vatican,FAC,"Evacuate the damn Vatican! Enough games! We lose!
Langdon suddenly realized that all of the catalysts that had been driving him-helping to save Vatican City, rescuing the four cardinals, coming face to face with the brotherhood had evaporated from his m 
he had studied for years-all of these things 
ind",724
725,Vatican City,GPE,"Evacuate the damn Vatican! Enough games! We lose!
Langdon suddenly realized that all of the catalysts that had been driving him-helping to save Vatican City, rescuing the four cardinals, coming face to face with the brotherhood had evaporated from his m 
he had studied for years-all of these things 
ind",725
726,Rome,GPE,"There was
knew, of course, the spear was pointing far beyond the wall, into the night, somewhere across Rome",726
727,Earth,LOC,Earth ,727
728,London,GPE,What figure would Bernini have carved as a glorification of water? Neptune and Apollo? Unfortunately that statue was in London’s Victoria & Albert Museum,728
729,Rome,GPE,He immediately realized he had asked the right people; the fire department’s map of Rome was as detailed as any Langdon had ever seen,729
730,Rome,GPE,"Finally, Langdon’s finger th 
ran out of churches and trailed off intoe suburbs of Rome",730
731,Rome,GPE," 
Surveying the whole of Rome, Langdon’s eyes touched down on the three churches where the first three cardinals had been killed",731
732,Rome,GPE,Somehow he had imagined the churches would be scattered randomly across Rome,732
733,the Great Seal,FAC," 
rking A symmetrical triangle!
Langdon’s first thought was for the Great Seal on the one-dollar bill-the triangle containing the all-seeing eye",733
734,Illuminati Diamond,LOC, For an instant Langdon flashed on the famed Illuminati Diamond,734
735,the Illuminati Diamond,FAC,"Besides, this diamond was oblong-like a kite-hardly an example of the flawless symmetry for which the Illuminati Diamond was revered",735
736,Rome,GPE,"When he leaned in to examine where he had placed the final mark, Langdon was surprised to find that the fourth point lay dead center of Rome’s famed Piazza Navona",736
737,St. Agnes,GPE,"The church was called Saint Agnes in Agony, named for St",737
738,Rome,GPE,"sprawled across Rome in an enormous, city-wide cross",738
739,Rome,GPE, ’Cross Rome the mystic elements unfold ,739
740,Rome,GPE, ’Cross Rome ,740
741,Rome,GPE,"A cross!’Cross Rome the mystic elements unfold!
It was cunning wordplay",741
742,Piazza Navona,FAC," 
Dead center of Piazza Navona, outside the church of St",742
743,St. Agnes,GPE," 
Dead center of Piazza Navona, outside the church of St",743
744,Rome,GPE,Everyone who came to Rome went to see it,744
745,Ganges,GPE," The Fountain of the Four Rivers!
A flawless tribute to water, Bernini’s Fountain of the Four Riversglorified the four major rivers of the Old World-The Nile, Ganges, Danube, and Rio Plata",745
746,Danube,GPE," The Fountain of the Four Rivers!
A flawless tribute to water, Bernini’s Fountain of the Four Riversglorified the four major rivers of the Old World-The Nile, Ganges, Danube, and Rio Plata",746
747,Rio Plata,GPE," The Fountain of the Four Rivers!
A flawless tribute to water, Bernini’s Fountain of the Four Riversglorified the four major rivers of the Old World-The Nile, Ganges, Danube, and Rio Plata",747
748,Vatican C,GPE,"He tried to hail Vatican C 
ither
ity but heard nothing but static",748
749,Abru,GPE,"Abru 
plex dials and buttons to no ava 
ptly, he realized his plan to get help was
not going to work",749
750,Vatican,FAC,Vatican circuits were jammed anyway,750
751,Vatican City,GPE,Then he’d gone on to say that a mystery guest was coming to Vatican City to save the day,751
752,Rome,GPE," 
Nights in Rome, like those in the desert, can be surprisingly cool, even after a warm day",752
753,Rome,GPE," A cross , Langdon thought, still amazed by the arrangement of the markers across Rome",753
754,Earth,LOC,"Earth, Air, Fire, Water",754
755,Vittoria,GPE,He wondered if that was where the Hassassin had taken Vittoria,755
756,St. Peter,GPE,"Had the Hassassin arrived early? Had he come in a van? Langdon had imagined the killer escorting his last victim across the piazza on foot, like he had at St",756
757,Hollywood,GPE,This is not one of your Hollywood movies ,757
758,Baggia,FAC,"This time, when Langdon grabbed on, the chains across Baggia’s chest shifted ",758
759,Rome,GPE,His work in Rome was done,759
760,Vittoria,GPE," 
Across town Vittoria awoke in pain",760
761,Vatican,FAC,"Through the slits in the balustrade, Vittoria could have sworn she saw the Vatican",761
762,Rome,GPE,"Four markers, he thought, spread across Rome in a giant cross",762
763,Rome,GPE,The bird’s deceptively dark color was the result of Rome’s pollution tarnishing the original bronze,763
764,Rome,GPE,"All of Rome spread out before him was
",764
765,St. Peter’s,GPE," 
To his left, the chaotic media lights surrounding St",765
766,Santa Maria della Vittoria,GPE,"To his right, the smoking cupola of Santa Maria della Vittoria",766
767,Piazza del Popolo,FAC,"In front of him in the distance, Piazza del Popolo",767
768,Rom,LOC,"The building was as fam e 
ous as any in Rom ",768
